zip_code,city
11000,"Beograd"
11010,"Beograd Vozdovac"
11030,"Beograd Čukarica"
11050,"Beograd Zvezdara"
11060,"Beograd Palilula"
11070,"Novi Beograd"
11080,"Beograd Zemun"
11090,"Beograd Rakovica"
11130,"Kaluđerica"
11194,"Rušanj"
11211,"Borča"
11212,"Ovča"
11213,"Padinska Skela"
11223,"Beli Potok"
11224,"Vrčin"
11225,"Zuce"
11226,"Pinosava"
11232,"Ripanj"
11233,"Ralja"
11235,"Mali Požarevac"
11251,"Ostružnica"
11253,"Sremčica"
11260,"Umka"
11261,"Mala Moštanica"
11262,"Velika Mostanica"
11271,"Surčin"
11272,"Dobanovci"
11275,"Boljevci"
11276,"Jakovo"
11277,"Ugrinovci"
11279,"Bečmen"
11280,"Progar"
11282,"Petrovcic"
11300,"Smederevo"
11306,"Grocka"
11307,"Boleč"
11308,"Begaljica"
11309,"Leštane"
11310,"Lipe"
11311,"Radinac"
11312,"Mihajlovac"
11313,"Mala Krsna"
11314,"Osipaonica"
11315,"Saraorci"
11316,"Golobok"
11317,"Lozovik"
11318,"Miloševac"
11319,"Krnjevo"
11320,"Velika Plana"
11321,"Lugavcina"
11322,"Skobalj"
11323,"Veliko Orašje"
11324,"Staro Selo"
11325,"Markovac"
11326,"Donja Livadica"
11327,"Rakinac"
11328,"Vodanj"
11329,"Vranovo"
11351,"Vinča"
11400,"Mladenovac"
11406,"Vlaška"
11407,"Selevac"
11408,"Velika Krsna"
11409,"Kovačevac"
11411,"Ratari"
11412,"Jagnjilo"
11413,"Pružatovac"
11414,"Velika Ivanča"
11415,"Koraćica"
11420,"Smederevska Palanka"
11423,"Azanja"
11424,"Banicina"
11425,"Kusadak"
11426,"Meljak"
11427,"Vranić"
11430,"Umčari"
11431,"Kolari"
11432,"Drugovac"
11433,"Šepšin"
11450,"Sopot"
11453,"Rogača"
11454,"Sibnica"
11460,"Barajevo"
11461,"Beljina"
11462,"Veliki Borak"
11500,"Obrenovac"
11504,"Barič"
11505,"Zabrežje"
11506,"Draževac"
11507,"Stubline"
11508,"Grabovac"
11509,"Skela"
11550,"Lazarevac"
11560,"Vreoci"
11561,"Dudovica"
11562,"Junkovac"
11563,"Veliki Crljeni"
11564,"Stepojevac"
11565,"Barosevac"
11566,"Rudovci"
11567,"Mirosaljci"
12000,"Požarevac"
12205,"Brezane"
12206,"Bradarac"
12207,"Dubravica"
12208,"Kostolac"
12209,"Kličevac"
12220,"Veliko Gradište"
12221,"Majilovac"
12222,"Braničevo"
12223,"Golubac"
12224,"Dobra"
12225,"Bratinac"
12226,"Topolovnik"
12229,"Vinci"
12230,"Brnjica"
12240,"Kučevo"
12242,"Neresnica"
12253,"Srednjevo"
12254,"Rabrovo"
12255,"Duboka"
12256,"Voluja"
12258,"Klenje"
12300,"Petrovac Na Mlavi"
12304,"Ranovac"
12305,"Melnica"
12306,"Veliko Laole"
12307,"Burovac"
12309,"Šetonje"
12311,"Malo Crniće"
12312,"Smoljinac"
12313,"Bozevac"
12314,"Veliko Selo"
12315,"Rašanac"
12316,"Krepoljin"
12317,"Osanica"
12318,"Vukovac"
12320,"Žagubica"
12321,"Laznica"
12322,"Suvi Do"
12370,"Aleksandrovac"
12371,"Vlaški Do"
12372,"Poljana"
12373,"Simićevo"
12374,"Žabari"
12375,"Porodin"
14000,"Valjevo"
14201,"Brankovina"
14202,"Rajković"
14203,"Dračić"
14204,"Divčibare"
14205,"Lelić"
14206,"Poćuta"
14207,"Pećka"
14210,"Ub"
14211,"Radljevo"
14212,"Brgule"
14213,"Pambukovica"
14214,"Banjani"
14221,"Popučke"
14222,"Divci"
14223,"Slovac"
14224,"Lajkovac"
14225,"Bogovadja"
14226,"Jabučje"
14240,"Ljig"
14242,"Mionica"
14243,"Gornja Toplica"
14244,"Brezde"
14245,"Slavkovica"
14246,"Belanovica"
14251,"Pricevic"
14252,"Kamenica"
14253,"Osečina"
14254,"Komirić"
14255,"Stave"
15000,"Šabac"
15211,"Mačvanski Pričinović"
15212,"Drenovac"
15213,"Orid"
15214,"Debeljača"
15215,"Provo"
15220,"Koceljeva"
15221,"Svileuva"
15222,"Kamenica"
15224,"Cerovac"
15225,"Vladimirci"
15226,"Draginje"
15227,"Donje Crniljevo"
15232,"Varna"
15233,"Metlić"
15234,"Tekeriš"
15235,"Dobrić"
15300,"Loznica"
15302,"Korenita"
15303,"Tršić"
15304,"Petlovača"
15305,"Lipolist"
15306,"Prnjavor Mačvanski"
15307,"Lešnica"
15308,"Jadranska Lešnica"
15309,"Brezjak"
15310,"Ribari"
15311,"Draginac"
15312,"Zavlaka"
15313,"Bela Crkva"
15314,"Krupanj"
15315,"Zajaca"
15316,"Banja Koviljača"
15317,"Donja Borina"
15318,"Mali Zvornik"
15319,"Uzovnica"
15320,"Ljubovija"
15321,"Radalj"
15322,"Velika Reka"
15323,"Donja Orovica"
15324,"Drlace"
15350,"Bogatić"
15352,"Zminjak"
15353,"Majur"
15354,"Štitar"
15355,"Crna Bara"
15356,"Glušci"
15357,"Klenje"
15358,"Badovinci"
15359,"Dublje"
15362,"Banovo Polje"
16000,"Leskovac"
16201,"Manojlovce"
16203,"Vučje"
16204,"Miroševce"
16205,"Bojnik"
16206,"Kosančić"
16210,"Vlasotince"
16212,"Svođe"
16213,"Sastav Reka"
16215,"Crna Trava"
16220,"Grdelica"
16221,"Velika Grabovnica"
16222,"Predejane"
16223,"Ruplje"
16230,"Lebane"
16231,"Turekovac"
16232,"Bosnjace"
16233,"Orane"
16240,"Medvedja"
16244,"Gornji Brestovac"
16246,"Sijarinska Banja"
16247,"Tulare"
16248,"Lece"
16251,"Pecanjevce"
16252,"Razgojna"
16253,"Brestovac"
17500,"Vranje"
17507,"Vlase"
17508,"Sveti Ilija"
17510,"Vladičin Han"
17511,"Priboj Vranjski"
17512,"Stubal"
17513,"Lepenica"
17514,"Džep"
17520,"Bujanovac"
17521,"Ristovac"
17522,"Biljaca"
17523,"Preševo"
17524,"Klenike"
17525,"Trgovište"
17526,"Donji Stajevac"
17529,"Muhovac"
17530,"Surdulica"
17531,"Jelašnica"
17532,"Vlasina Okruglica"
17533,"Vlasina Rid"
17534,"Vlasina Stojkovićevo"
17535,"Klisura"
17537,"Bozica"
17538,"Gornja Lisina"
17540,"Bosilegrad"
17542,"Vranjska Banja"
17543,"Kriva Feja"
17544,"Donja Ljubata"
17545,"Korbevac"
17546,"Bistar"
17547,"Donje Tlamino"
17556,"Reljan"
17557,"Oraovica"
17567,"Bujanovac"
18000,"Niš"
18201,"Lalinac"
18202,"Gornja Toponica"
18204,"Gornji Matejevac"
18205,"Niška Banja"
18206,"Jelašnica"
18207,"Malča"
18208,"Guševac"
18209,"Medoševac"
18210,"Žitkovac"
18211,"Trupale"
18212,"Tešica"
18213,"Gredetin"
18214,"Kulina"
18215,"Veliko Bonjince"
18216,"Korman"
18217,"Ljuberadja"
18219,"Grejac"
18220,"Aleksinac"
18223,"Draževac(kod Aleksinca)"
18224,"Rutevac"
18225,"Katun"
18226,"Aleksinacki Rudnik"
18227,"Subotinac"
18228,"Luzane"
18229,"Mozgovo"
18230,"Soko Banja"
18232,"Čitluk"
18234,"Jošanica"
18235,"Šarbanovac"
18237,"Dugo Polje"
18240,"Gadžin Han"
18241,"Gornji Barbes"
18242,"Donji Dušnik"
18244,"Zaplanjska Toponica"
18245,"Lički Hanovi"
18246,"Ravna Dubrava"
18250,"Novo Selo"
18251,"Mramor"
18252,"Merošina"
18253,"Jugbogdanovac"
18254,"Donje Medurovo"
18255,"Pukovac"
18257,"Balajinac"
18258,"Jovanovac"
18260,"Popovac"
18300,"Pirot"
18304,"Crnokliste"
18306,"Visoka Rzana"
18307,"Krupač"
18310,"Bela Palanka"
18311,"Sićevo"
18312,"Ostrovica"
18313,"Crvena Reka"
18314,"Dolac"
18315,"Babin Kal"
18320,"Dimitrovgrad"
18321,"Gradina"
18322,"Sukovo"
18323,"Smilovci"
18324,"Kamenica"
18326,"Poganovo"
18330,"Babusnica"
18332,"Strelac"
18333,"Zvonce"
18355,"Temska"
18360,"Svrljig"
18363,"Palilula"
18365,"Prekonoga"
18366,"Niševac"
18368,"Burdimo"
18400,"Prokuplje"
18403,"Velika Plana"
18404,"Donja Rečica"
18405,"Džigolj"
18406,"Dubovo"
18407,"Žitni Potok"
18408,"Dobri Do"
18409,"Kruševica"
18410,"Doljevac"
18411,"Belotinac"
18412,"Žitoradja"
18413,"Pejkovac"
18414,"Donje Crnatovo"
18415,"Malošište"
18417,"Cecina"
18420,"Blace"
18421,"Donja Trnava"
18423,"Mala Plana"
18424,"Beloljin"
18425,"Gornja Draguša"
18426,"Barbatovac"
18430,"Kuršumlija"
18432,"Barlovo"
18433,"Prolom"
18435,"Kuršumlijska Banja"
18436,"Merćez"
18437,"Lukovo"
18438,"Zuc"
18440,"Rača"
18445,"Merdare"
19000,"Zaječar"
19204,"Metovnica"
19205,"Gradskovo"
19206,"Veliki Izvor"
19207,"Planinica"
19208,"Lubnica"
19209,"Mali Jasenovac"
19210,"Bor"
19213,"Donja Bela Reka"
19214,"Rgotina"
19215,"Zlot"
19216,"Brestovačka Banja"
19219,"Krivelj"
19220,"Donji Milanovac"
19222,"Klokočevac"
19223,"Koprivnica"
19224,"Salaš"
19225,"Sikole"
19227,"Zvezdan"
19228,"Gamzigradska Banja"
19229,"Borski Brestovac"
19231,"Borsko Bucje"
19234,"Luka"
19235,"Velika Jasikova"
19236,"Halovo"
19250,"Majdanpek"
19257,"Rudna Glava"
19300,"Negotin"
19303,"Štubik"
19304,"Jabukovac"
19305,"Urovica"
19306,"Trnjane"
19311,"Nikolićevo"
19312,"Vražogrnac"
19313,"Brusnik"
19314,"Rajac"
19315,"Bracevac"
19316,"Kobišnica"
19317,"Mokranja"
19318,"Rogljevo"
19320,"Kladovo"
19321,"Podvrška"
19322,"Mihajlovac"
19323,"Brza Palanka"
19324,"Slatina"
19325,"Tekija"
19326,"Sip"
19328,"Velesnica"
19329,"Korbovo"
19330,"Prahovo"
19334,"Radujevac"
19335,"Dušanovac"
19340,"Minićevo"
19341,"Grljan"
19342,"Grlište"
19343,"Lenovac"
19344,"Vratarnica"
19345,"Donje Zuniće"
19347,"Mali Izvor"
19350,"Knjaževac"
19352,"Donja Kamenica"
19353,"Kalna"
19362,"Podvis"
19366,"Beli Potok"
19367,"Vasilj"
19369,"Bucje"
19370,"Boljevac"
19371,"Lukovo"
19372,"Bogovina"
19373,"Šarbanovac"
19375,"Krivi Vir"
19376,"Sumrakovac"
19377,"Savinac"
19378,"Osnić"
19379,"Šarbanovac Timok"
21000,"Novi Sad"
21131,"Petrovaradin"
21201,"Rumenka"
21203,"Veternik"
21205,"Sremski Karlovci"
21206,"Stari Ledinci"
21207,"Ledinci"
21208,"Sremska Kamenica"
21209,"Bukovac"
21211,"Kisač"
21212,"Stepanovićevo"
21213,"Zmajevo"
21214,"Sirig"
21215,"Turija"
21216,"Nadalj"
21217,"Bačko Gradište"
21220,"Bečej"
21225,"Radičević"
21226,"Bačko Petrovo Selo"
21227,"Mileševo"
21230,"Žabalj"
21233,"Čenej"
21234,"Bački Jarak"
21235,"Temerin"
21237,"Gospođinci"
21238,"Čurug"
21239,"Đurdjevo"
21240,"Titel"
21241,"Kać"
21242,"Budisava"
21243,"Kovilj"
21244,"Šajkaš"
21245,"Mošorin"
21246,"Vilovo"
21247,"Gardinovci"
21248,"Lok"
21299,"Rakovac"
21300,"Beočin"
21311,"Čerević"
21312,"Banoštor"
21313,"Susek"
21314,"Neštin"
21315,"Lug"
21400,"Bačka Palanka"
21410,"Futog"
21411,"Begeč"
21412,"Gložan"
21413,"Čelarevo"
21420,"Bač"
21421,"Karađorđevo"
21422,"Mladenovo"
21423,"Obrovac"
21424,"Tovariševo"
21425,"Selenča"
21426,"Vajska"
21427,"Bodjani"
21428,"Plavna"
21429,"Bačko Novo Selo"
21431,"Nova Gajdobra"
21432,"Gajdobra"
21433,"Silbaš"
21434,"Parage"
21460,"Vrbas"
21465,"Bačko Dobro Polje"
21466,"Kucura"
21467,"Savino Selo"
21468,"Despotovo"
21469,"Pivnice"
21470,"Bački Petrovac"
21471,"Ravno Selo"
21472,"Kulpin"
21473,"Maglić"
21480,"Srbobran"
22000,"Sremska Mitrovica"
22201,"Zasavica"
22202,"Mačvanska Mitrovica"
22203,"Noćaj"
22204,"Salaš Noćajski"
22205,"Ravnje"
22206,"Radenković"
22207,"Ležimir"
22208,"Mandjelos"
22211,"Veliki Radinci"
22212,"Bešenovo"
22213,"Grgurevci"
22217,"Bosut"
22221,"Laćarak"
22222,"Martinci"
22223,"Kuzmin"
22224,"Kukujevci"
22225,"Bacinci"
22230,"Erdevik"
22231,"Čalma"
22232,"Divoš"
22240,"Šid"
22241,"Vasica"
22242,"Berkasovo"
22243,"Sot"
22244,"Adasevci"
22245,"Morović"
22246,"Višnjićevo"
22247,"Sremska Rača"
22248,"Jamena"
22250,"Ilinci"
22251,"Batrovci"
22253,"Bingula"
22254,"Bikić Do"
22255,"Ljuba"
22256,"Molovin"
22257,"Privina Glava"
22258,"Gibarac"
22300,"Stara Pazova"
22303,"Banovci Dunav"
22304,"Novi Banovci"
22305,"Stari Banovci"
22306,"Belegiš"
22307,"Surduk"
22308,"Golubinci"
22310,"Šimanovci"
22313,"Vojka"
22314,"Krnješevci"
22320,"Inđija"
22321,"Ljukovo"
22322,"Novi Karlovci"
22323,"Novi Slankamen"
22324,"Beška"
22325,"Krčedin"
22326,"Čortanovci"
22327,"Maradik"
22328,"Krušedol"
22329,"Stari Slankamen"
22330,"Nova Pazova"
22400,"Ruma"
22404,"Putinci"
22405,"Stejanovci"
22406,"Irig"
22408,"Vrdnik"
22409,"Jazak"
22410,"Pećinci"
22411,"Kraljevci"
22412,"Dobrinci"
22413,"Sremski Mihaljevci"
22414,"Subotište"
22416,"Ogar"
22417,"Obrez"
22418,"Asanja"
22419,"Kupinovo"
22420,"Platičevo"
22421,"Budjanovci"
22422,"Nikinci"
22423,"Grabovci"
22424,"Klenak"
22425,"Šašinci"
22427,"Hrtkovci"
22428,"Popinci"
22429,"Voganj"
22431,"Vitojevci"
22440,"Sibač"
22441,"Dec"
22442,"Prhovo"
22443,"Karlovčić"
23000,"Zrenjanin"
23202,"Mihajlovo"
23203,"Ečka"
23204,"Stajićevo"
23205,"Belo Blato"
23206,"Muzlja"
23207,"Aradac"
23208,"Elemir"
23209,"Taraš"
23210,"Žitište"
23211,"Klek"
23212,"Ravni Topolovac"
23213,"Banatski Dvor"
23214,"Torda"
23215,"Cestereg"
23216,"Banatsko Karađorđevo"
23217,"Aleksandrovo"
23218,"Nova Crnja"
23219,"Vojvoda Stepa"
23220,"Srpska Crnja"
23221,"Radojevo"
23222,"Toba"
23224,"Lukino Selo"
23230,"Jaša Tomić"
23231,"Krajišnik"
23232,"Begejci"
23233,"Srpski Itebej"
23234,"Medja"
23235,"Hetin"
23236,"Novi Itebej"
23237,"Banatsko Višnjićevo"
23240,"Sečanj"
23241,"Lazarevo"
23242,"Banatski Despotovac"
23243,"Botos"
23244,"Sutjeska"
23245,"Neuzina"
23250,"Jarkovac"
23251,"Banatska Dubica"
23252,"Boka"
23253,"Konak"
23254,"Surjan"
23255,"Zlatica"
23260,"Perlez"
23261,"Lukićevo"
23262,"Tomaševac"
23263,"Orlovat"
23264,"Farkaždin"
23265,"Knićanin"
23266,"Ćenta"
23270,"Melenci"
23271,"Kumane"
23272,"Novi Bečej"
23273,"Novo Miloševo"
23274,"Bocar"
23300,"Kikinda"
23305,"Mokrin"
23311,"Nakovo"
23312,"Banatsko Veliko Selo"
23313,"Novi Kozarci"
23314,"Rusko Selo"
23315,"Banatska Topola"
23316,"Basaid"
23320,"Čoka"
23323,"Iđos"
23324,"Sajan"
23325,"Padej"
23326,"Ostojićevo"
23327,"Jazovo"
23328,"Crna Bara"
23329,"Vrbica"
23330,"Novi Kneževac"
23331,"Sanad"
23332,"Banatsko Arandjelovo"
23333,"Majdan"
23334,"Srpski Krstur"
23335,"Đala"
24000,"Subotica"
24104,"Kelebija"
24205,"Kelebija-granični prelaz"
24206,"Bikovo"
24207,"Orom"
24210,"Bajmok"
24211,"Mišićevo"
24213,"Đurđin"
24214,"Tavankut"
24215,"Ljutovo"
24217,"Mala Bosna"
24220,"Čantavir"
24222,"Višnjevac"
24223,"Novi Zednik"
24224,"Stari Žednik"
24300,"Bačka Topola"
24308,"Karadjordjevo"
24309,"Mali Beograd"
24311,"Njegoševo"
24312,"Gunaroš"
24313,"Pobeda"
24321,"Mali Idjoš"
24322,"Lovćenac"
24323,"Feketić"
24330,"Panonija"
24331,"Bajša"
24340,"Stara Moravica"
24341,"Krivaja"
24342,"Pačir"
24343,"Bački Sokolac"
24344,"Oresković"
24351,"Novo Orahovo"
24352,"Tornjoš"
24400,"Senta"
24406,"Gornji Breg"
24407,"Kevi"
24408,"Bogaras"
24410,"Horgoš"
24411,"Horgoš Granični Prelaz"
24413,"Palić"
24414,"Hajdukovo"
24415,"Bački Vinogradi"
24416,"Male Pijace"
24417,"Martonoš"
24420,"Kanjiža"
24425,"Adorjan"
24426,"Tresnjevac"
24427,"Totovo Selo"
24430,"Ada"
24435,"Mol"
24437,"Utrine"
25000,"Sombor"
25210,"Conoplja"
25211,"Svetozar Miletić"
25212,"Aleksa Santic"
25220,"Crvenka"
25221,"Kljajićevo"
25222,"Telečka"
25223,"Sivac"
25224,"Nova Crvenka"
25225,"Krusčić"
25230,"Kula"
25232,"Lipar"
25233,"Ruski Krstur"
25234,"Lalić"
25240,"Stapar"
25242,"Bački Brestovac"
25243,"Doroslovo"
25244,"Srpski Miletić"
25245,"Bogojevo"
25250,"Odzaci"
25252,"Bački Gracac"
25253,"Ratkovo"
25254,"Deronje"
25255,"Karavukovo"
25260,"Apatin"
25262,"Kupušina"
25263,"Prigrevica"
25264,"Sonta"
25265,"Svilojevo"
25270,"Bezdan"
25272,"Bački Monostor"
25274,"Kolut"
25275,"Bački Breg"
25280,"Ridjica"
25282,"Gakovo"
25283,"Rastina"
25284,"Stanišić"
26000,"Pančevo"
26201,"Jabuka"
26202,"Glogonj"
26203,"Sefkerin"
26204,"Opovo"
26205,"Baranda"
26206,"Sakule"
26207,"Idvor"
26210,"Kovačica"
26212,"Kačarevo"
26213,"Crepaja"
26215,"Padina"
26216,"Uzdin"
26220,"Kovin"
26222,"Bavanište"
26223,"Gaj"
26224,"Dubovac"
26225,"Deliblato"
26226,"Mramorak"
26227,"Dolovo"
26228,"Skorenovac"
26229,"Pločica"
26230,"Omoljica"
26232,"Starčevo"
26233,"Ivanovo"
26234,"Banatski Brestovac"
26300,"Vršac"
26310,"Alibunar"
26314,"Banatsko Novo Selo"
26315,"Vladimirovac"
26316,"Devojački Bunar"
26320,"Banatski Karlovac"
26322,"Nikolinci"
26323,"Crvena Crkva"
26324,"Banatska Palanka"
26327,"Banatska Subotica"
26328,"Dupljaja"
26329,"Kajtasovo"
26330,"Uljma"
26331,"Ritisevo"
26332,"Vlajkovac"
26333,"Pavliš"
26334,"Veliko Središte"
26335,"Gudurica"
26336,"Kuštilj"
26337,"Vatin"
26338,"Vojvodinci"
26340,"Bela Crkva"
26343,"Izbište"
26345,"Straža"
26346,"Jasenovo"
26347,"Grebenac"
26348,"Vračev Gaj"
26349,"Kusić"
26350,"Samoš"
26351,"Seleuš"
26352,"Ilandža"
26353,"Novi Kozjak"
26354,"Dobrica"
26360,"Plandište"
26361,"Lokve"
26362,"Janošik"
26363,"Jermenovci"
26364,"Margita"
26365,"Veliki Gaj"
26366,"Velika Greda"
26367,"Barice"
26368,"Kupinik"
26370,"Hajdučica"
26371,"Stari Lec"
26373,"Miletićevo"
26380,"Kruščica"
31000,"Užice"
31203,"Lunovo Selo"
31204,"Karan"
31205,"Sevojno"
31206,"Ravni"
31207,"Sirogojno"
31208,"Rožanstvo"
31209,"Ljubiš"
31210,"Požega"
31213,"Ježevica"
31214,"Gornja Dobrinja"
31215,"Jelen Do"
31230,"Arilje"
31233,"Kruščica"
31234,"Brekovo"
31236,"Divljaka"
31237,"Roge"
31241,"Bioska"
31242,"Kremna"
31243,"Mokra Gora"
31244,"Šljivovica"
31250,"Bajina Bašta"
31251,"Mitrovac"
31253,"Zlodol"
31254,"Kostojevići"
31255,"Rogačica"
31256,"Perućac"
31257,"Kaluđerske Bare"
31258,"Bačevci"
31260,"Kosjerić"
31262,"Seča Reka"
31263,"Varda"
31265,"Ražana"
31300,"Prijepolje"
31305,"Brodarevo"
31306,"Jabuka"
31307,"Aljinovici"
31310,"Čajetina"
31311,"Bela Zemlja"
31312,"Mačkat"
31313,"Gostilje"
31314,"Jablanica"
31315,"Zlatibor"
31317,"Draglica"
31318,"Kokin Brod"
31319,"Jasenovo"
31320,"Nova Varoš"
31322,"Bozetici"
31325,"Bistrica"
31330,"Priboj"
31335,"Sastavci"
31337,"Banja Kod Priboja"
32000,"Čačak"
32205,"Trbušani"
32206,"Kamenica"
32210,"Mrčajevci"
32211,"Mojsinje"
32212,"Preljina"
32213,"Bresnica"
32215,"Gornja Trepca"
32221,"Trnava"
32222,"Ježevica"
32223,"Zablaće"
32224,"Slatina"
32225,"Goričani"
32230,"Guča"
32232,"Goračići"
32234,"Kaona"
32235,"Kotraža"
32240,"Lučani"
32242,"Ovčar Banja"
32243,"Markovica"
32250,"Ivanjica"
32251,"Bukovica"
32252,"Prilicki Kiseljak"
32253,"Brezova"
32254,"Vionica"
32255,"Medjurečje"
32256,"Bratljevo"
32257,"Kovilje"
32258,"Kušići"
32259,"Bele Vode"
32300,"Gornji Milanovac"
32303,"Brđani"
32304,"Takovo"
32305,"Bersici"
32306,"Gornji Banjani"
32307,"Brezna"
32308,"Pranjani"
32311,"Šilopaj"
32312,"Boljkovci"
32313,"Rudnik"
32314,"Ugrinovci"
32315,"Vračevšnica"
34000,"Kragujevac"
34202,"Grosnica"
34203,"Ilićevo"
34204,"Divostin"
34205,"Bare"
34206,"Gornja Sabanta"
34207,"Erdec"
34209,"Marsic"
34210,"Rača Kragujevačka"
34211,"Jovanovac"
34212,"Malo Krcmare"
34214,"Veliko Krčmare"
34215,"Đurdjevo"
34216,"Male Pčelice"
34217,"Bukurovac"
34220,"Lapovo"
34223,"Lapovo Selo"
34224,"Korman"
34225,"Resnik"
34226,"Badnjevac"
34227,"Batočina"
34228,"Brzan"
34229,"Zirovnica"
34230,"Gruza"
34231,"Dragobraca"
34232,"Guberevac"
34240,"Knić"
34242,"Bumbarevo Brdo"
34243,"Toponica"
34244,"Zabojnica"
34300,"Arandjelovac"
34301,"Bukovik"
34302,"Ranilovic"
34303,"Arandjelovac"
34304,"Banja"
34305,"Darosava"
34306,"Vencane"
34307,"Stojnik"
34308,"Orašac"
34309,"Jelovik"
34310,"Topola"
34312,"Belosavci"
34313,"Natalinci"
34314,"Donja Satornja"
34318,"Jarmenovci"
34321,"Desimirovac"
34322,"Čumić"
34323,"Stragari"
34325,"Lužnice"
35000,"Jagodina"
35203,"Siokovac"
35204,"Bagrdan"
35205,"Jovac"
35206,"Raševica"
35207,"Potočac"
35208,"Vojska"
35209,"Subotica Kod Svilajnca"
35210,"Svilajnac"
35211,"Sedlare"
35212,"Plažane"
35213,"Despotovac"
35215,"Stenjevac"
35217,"Bobovo"
35219,"Končarevo"
35220,"Ribare"
35222,"Glogovac"
35223,"Veliki Popović"
35224,"Medvedja"
35226,"Kušiljevo"
35227,"Krušar"
35228,"Supska"
35230,"Ćuprija"
35233,"Senje"
35234,"Senjski Rudnik"
35235,"Ravna Reka"
35236,"Mijatovac"
35237,"Resavica"
35238,"Bigrenica"
35241,"Jasenovo"
35242,"Kolare"
35247,"Plana"
35248,"Trešnjevica"
35249,"Busilovac"
35250,"Paraćin"
35254,"Popovac"
35255,"Donja Mutnica"
35256,"Sikirica"
35257,"Drenovac"
35258,"Donje Vidovo"
35259,"Svojnovo"
35260,"Rekovac"
35261,"Glavinci"
35262,"Dragoševac"
35263,"Belusic"
35264,"Prevešt"
35265,"Dragovo"
35267,"Oparić"
35268,"Miloševo"
35269,"Strižilo"
35270,"Majur"
35271,"Novo Lanište"
35272,"Dragocvet"
35273,"Bunar"
36000,"Kraljevo"
36201,"Mataruška Banja"
36202,"Samaila"
36203,"Adrani"
36204,"Lađevci"
36205,"Roćevci"
36206,"Vitanovac"
36207,"Vitkovac"
36208,"Sirča"
36210,"Vrnjačka Banja"
36212,"Ratina"
36214,"Vrba"
36215,"Podunavci"
36216,"Novo Selo"
36217,"Vrnjci"
36220,"Čukojevac"
36221,"Zica"
36222,"Rudno"
36300,"Novi Pazar"
36305,"Dezeva"
36306,"Lukare"
36307,"Delimede"
36308,"Sopoćani"
36309,"Ribarice"
36310,"Sjenica"
36311,"Štavalj"
36312,"Duga Poljana"
36313,"Ugao"
36320,"Tutin"
36321,"Crkvine"
36340,"Konarevo"
36341,"Bogutovac"
36342,"Ušće"
36343,"Studenica"
36344,"Baljevac Na Ibru"
36345,"Jošanicka Banja"
36346,"Brvenik"
36350,"Raška"
36353,"Rudnica"
36354,"Kopaonik"
37000,"Kruševac"
37201,"Parunovac"
37202,"Djunis"
37203,"Zdravinje"
37204,"Veliki Siljegovac"
37205,"Ribarska Banja"
37206,"Dvorane"
37207,"Veliko Golovode"
37208,"Čitluk"
37209,"Velika Lomnica"
37210,"Ćićevac"
37212,"Stalać"
37213,"Vitosevac"
37214,"Pojate"
37215,"Ražanj"
37220,"Brus"
37221,"Gornji Stepos"
37222,"Kupci"
37223,"Razbojna"
37224,"Lepenac"
37225,"Brzeće"
37226,"Blazevo"
37227,"Milentija"
37228,"Zlatari"
37229,"Grasevci"
37230,"Aleksandrovac"
37231,"Pepeljevac"
37232,"Laćisled"
37233,"Velika Vrbnica"
37234,"Gornji Stupanj"
37235,"Trnavci"
37236,"Rataje"
37237,"Ploča"
37238,"Ples"
37239,"Šljivovo"
37240,"Trstenik"
37242,"Stopanja"
37243,"Počekovina"
37244,"Medvedja"
37245,"Velika Drenova"
37246,"Milutovac"
37251,"Globoder"
37252,"Jasika"
37253,"Bela Voda"
37254,"Konjuh"
37255,"Kukljin"
37256,"Kaonik"
37257,"Padež"
37258,"Donji Krcin"
37259,"Ribare"
37260,"Varvarin"
37262,"Bosnjane"
37265,"Bačina"
37266,"Obrez"
37271,"Dasnica"
37281,"Osreci"
37282,"Kriva Reka"
38157,"Brezovica"
38205,"Gracanica"
38210,"Kosovo Polje"
38213,"Prilužje"
38216,"Banjska"
38217,"Sočanica"
38218,"Leposavić"
38219,"Lešak"
38220,"Kosovska Mitrovica"
38227,"Zvecan"
38228,"Zubin Potok"
38236,"Štrpce"
38239,"Drajkovce"
38266,"Pasjane"
38267,"Ranilug"
"B22415","Brestac"